Index, run_time
0,0.010616326704621315
1,0.007943965494632721
2,0.007488276809453964
3,0.007475564256310463
4,0.007535748183727264
5,0.007598293945193291
6,0.007399840280413628
7,0.00743306428194046
8,0.007536696270108223
9,0.007535312324762344
10,0.007615644484758377
11,0.00737895630300045
12,0.0075257327407598495
13,0.007704785093665123
14,0.007585616782307625
15,0.007810240611433983
16,0.007473543286323547
17,0.007396865636110306
18,0.007506847381591797
19,0.007395284250378609
20,0.007484378293156624
21,0.007492028176784515
22,0.007386716082692146
23,0.007542835548520088
