Index, run_time
0,0.010157309472560883
1,0.007678668014705181
2,0.01474621519446373
3,0.02218981832265854
4,0.012267986312508583
5,0.01351083442568779
6,0.007493028417229652
7,0.017443930730223656
8,0.02278716303408146
9,0.013027522712945938
10,0.010519444942474365
11,0.015119844116270542
12,0.008156011812388897
13,0.014434835873544216
14,0.01567267719656229
15,0.012839076109230518
16,0.013024142943322659
17,0.02433552872389555
18,0.02275356650352478
19,0.011486396193504333
20,0.013908809050917625
21,0.012974144890904427
22,0.007196327671408653
23,0.006971648894250393
