Index, run_time
0,0.14938729163259268
1,0.1708212522789836
2,0.11049841530621052
3,0.1429740721359849
4,0.095569534227252
5,0.10533330589532852
6,0.0986438225954771
7,0.11960472725331783
8,0.10147421434521675
9,0.09286657255142927
10,0.07749816123396158
11,0.321813371963799
12,0.12433604896068573
13,0.1179994884878397
14,0.10857243649661541
15,0.11796324513852596
16,0.14609781093895435
17,0.11199435126036406
18,0.14652533177286386
19,0.08641960378736258
20,0.14503368642181158
21,0.10082896240055561
22,0.1330448528751731
23,0.12949304096400738
