Index, run_time
0,0.016623742878437042
1,0.008729267865419388
2,0.02219690941274166
3,0.008256334811449051
4,0.007864749059081078
5,0.0315169021487236
6,0.010778749361634254
7,0.006643323227763176
8,0.006877820938825607
9,0.01518084667623043
10,0.008424060419201851
11,0.00736580602824688
12,0.0074671730399131775
13,0.007233962416648865
14,0.007357124239206314
15,0.014792829751968384
16,0.007445681840181351
17,0.007220381870865822
18,0.007629236206412315
19,0.0064574237912893295
20,0.007347043603658676
21,0.03205800801515579
22,0.031745705753564835
23,0.029646040871739388
24,0.029230553656816483
25,0.13171732239425182
26,0.14112244360148907
27,0.09605313651263714
28,0.17806261964142323
