Index, run_time
0,0.010389392729848623
1,0.007287825923413038
2,0.007041982840746641
3,0.007052257657051086
4,0.008641224820166826
5,0.007564300671219826
6,0.0070889960043132305
7,0.007095629349350929
8,0.007256786338984966
9,0.008309487719088793
10,0.007547509856522083
11,0.007619269657880068
12,0.007885931991040707
13,0.007485358044505119
14,0.007024666760116816
15,0.007132173981517553
16,0.007007131353020668
17,0.00701202591881156
18,0.007010017987340689
19,0.00697331503033638
20,0.00698962202295661
21,0.007068520877510309
22,0.006962581072002649
23,0.006981876213103533
24,0.007028270047158003
25,0.0069836960174143314
26,0.007038959767669439
27,0.00698053278028965
28,0.006979340687394142
29,0.006965212058275938
