Index, run_time
0,0.014646850526332855
1,0.008563775569200516
2,0.008351285010576248
3,0.008424097672104836
4,0.008119046688079834
5,0.007944447919726372
6,0.007867222651839256
7,0.007946919649839401
8,0.008142730221152306
9,0.008136069402098656
10,0.008107751607894897
11,0.008033912628889084
12,0.008067481219768524
13,0.00797170028090477
14,0.007839128375053406
15,0.008072422817349434
16,0.007681339979171753
17,0.007812213152647018
18,0.008158210664987564
19,0.007644638419151306
20,0.00795775093138218
21,0.0076327137649059296
22,0.007576832547783852
23,0.007693728432059288
