Index, run_time
0,1.2108053918927908
1,1.104354813694954
2,1.124799270182848
3,1.0886206477880478
4,1.0253631379455328
5,1.1830873172730207
6,1.0812228992581367
7,1.02559357509017
8,1.1023846119642258
9,1.1992887519299984
10,1.130958953872323
11,1.0560556314885616
12,1.0644680224359035
13,1.0181033704429865
14,1.0843350868672132
15,1.1365504208952188
16,0.9615335203707218
17,0.973457146435976
18,1.0584630779922009
19,0.981799928471446
20,0.9820314738899469
21,0.9386561848223209
22,0.9883830342441797
23,1.0055919960141182
