Index, run_time
0,0.668285233899951
1,0.44187415204942226
2,0.5417110957205296
3,0.48053439520299435
4,0.29194967076182365
5,0.3342347089201212
6,0.27117620781064034
7,0.2943213973194361
8,0.3344849292188883
9,0.3070049434900284
10,0.25595842488110065
11,0.2798596117645502
12,0.6007096730172634
13,0.4638377595692873
14,0.4211737886071205
15,0.41103420220315456
16,0.42137730307877064
17,0.42203698493540287
18,0.5561888236552477
19,0.8076909314841032
20,0.5846123471856117
21,0.648778636008501
22,0.6031951084733009
23,0.799301665276289
24,0.36014201678335667
25,0.6924848761409521
26,0.8204627595841885
27,0.6738362610340118
28,0.2692691218107939
29,0.6075986716896296
30,0.18142169155180454
31,0.18022818118333817
32,0.26009305752813816
33,0.16938176192343235
34,0.16722058691084385
35,0.15032951161265373
36,0.3367136586457491
37,0.17121980339288712
38,0.19038928300142288
39,0.30566882342100143
40,0.2694720607250929
41,0.44406348280608654
42,0.5232916176319122
43,0.619424432516098
44,0.7778122834861279
45,0.6640171427279711
46,0.5723259206861258
47,0.7506178580224514
48,0.5861222725361586
49,0.5778664667159319
50,0.6339405123144388
51,0.5950032062828541
52,0.6830188408493996
53,0.6426375545561314
54,0.580052811652422
55,0.6765045989304781
56,0.796489330008626
57,0.22865373827517033
58,0.17439460381865501
59,0.18435825034976006
60,0.25113105215132236
61,0.2729616276919842
62,0.4423403050750494
63,0.36711922846734524
64,0.38499713502824306
