Method,Dataset,Task0_Mean,Task0_Std,Task1_Mean,Task1_Std,Task2_Mean,Task2_Std,Task3_Mean,Task3_Std,Task4_Mean,Task4_Std
w_MRHP&Repairing,beir-ood,0.5731,0.0016,0.4197,0.0029,0.475,0.0021,0.5531,0.0054,0.9201,0.0078
w_MRHP&Repairing,lotte-ood,0.3843,0.0006,0.5199,0.0035,0.5331,0.0056,0.5338,0.0087,0.4879,0.0079
wo_MRHP,beir-ood,0.5749,0.0013,0.3663,0.0048,0.389,0.0015,0.5162,0.0078,0.8397,0.0025
wo_MRHP,lotte-ood,0.3894,0.0015,0.4643,0.0072,0.4394,0.0055,0.4713,0.0021,0.3657,0.0057
wo_Repairing,beir-ood,0.5727,0.0048,0.2387,0.01,0.222,0.0035,0.47,0.0389,0.3141,0.015
wo_Repairing,lotte-ood,0.3854,0.0,0.4161,0.0,0.3549,0.0,0.4237,0.0,0.2739,0.0
