Index, run_time
0,0.008075328543782234
1,0.008017146959900856
2,0.007703462615609169
3,0.00771525502204895
4,0.007587997242808342
5,0.00760350376367569
6,0.007332639768719673
7,0.00718124583363533
8,0.04679838754236698
9,0.048688123002648354
10,0.007457448169589043
11,0.007359331473708153
12,0.007074423134326935
13,0.006952749565243721
14,0.007120490074157715
15,0.0074386559426784515
16,0.007398610934615135
17,0.00715404748916626
18,0.007026515901088715
19,0.007096113637089729
20,0.007110424339771271
21,0.006964379921555519
22,0.01285899244248867
23,0.007100366055965424
24,0.012370975688099861
25,0.007014460861682892
26,0.012351278215646744
27,0.006824024021625519
28,0.006851088255643845
29,0.006785066798329353
