Index, run_time
0,0.17514128424227238
1,0.18534721992909908
2,0.13801765255630016
3,0.13041720539331436
4,0.14529823139309883
5,0.14179851301014423
6,0.11340540833771229
7,0.2023977693170309
8,0.1192544624209404
9,0.1582206767052412
10,0.1434159278869629
11,0.13694043457508087
12,0.12085674703121185
13,0.18666563369333744
14,0.17376642487943172
15,0.1258824411779642
16,0.13715540058910847
17,0.1523957345634699
18,0.148959344252944
19,0.17271988838911057
20,0.12976580299437046
21,0.11666619218885899
22,0.13671963475644588
23,0.34984877333045006
