Index, run_time
0,0.0503267478197813
1,0.0397504698485136
2,0.04160199826583266
3,0.06166300782933831
4,0.04445040924474597
5,0.0820724330842495
6,0.23846653383225203
7,0.10584510816261172
8,0.05340462177991867
9,0.03318941732868552
10,0.07706873398274183
11,0.04021734092384577
12,0.09318432305008173
13,0.04755285428836942
14,0.04197474988177419
15,0.036138982977718115
16,0.03667953237891197
17,0.0855301870033145
18,0.060920869931578636
19,0.05105554684996605
20,0.05819209571927786
21,0.07501473696902394
22,0.06610433384776115
23,0.03917229874059558
