Index, run_time
0,0.010018917731940746
1,0.008510079700499773
2,0.008080116007477045
3,0.007698772940784693
4,0.0077613769099116325
5,0.007499211002141237
6,0.007456826977431774
7,0.007590116932988167
8,0.0073426696471869946
9,0.007322046905755997
10,0.0073005142621695995
11,0.01620034361258149
12,0.007470458745956421
13,0.007575165014714003
14,0.007489094976335764
15,0.007384174037724733
16,0.007485316134989262
17,0.0075224838219583035
18,0.0074567729607224464
19,0.00779587309807539
20,0.007461175322532654
21,0.007471820805221796
22,0.007465173956006765
23,0.00751533405855298
