Index, run_time
0,0.0414616372436285
1,0.17580658197402954
2,0.11539084278047085
3,0.12175842933356762
4,0.12128569185733795
5,0.06937819346785545
6,0.05596896819770336
7,0.06411266326904297
8,0.10424885526299477
9,0.06179619021713734
10,0.049242570996284485
11,0.027708541601896286
12,0.03135922737419605
13,0.06668314896523952
14,0.05672388710081577
15,0.08488556928932667
16,0.1071738563477993
17,0.08744128420948982
18,0.03133637458086014
19,0.05713414400815964
20,0.047409987077116966
21,0.04128975421190262
22,0.06837426126003265
23,0.025690512731671333
24,0.05729005113244057
25,0.09830440208315849
26,0.06905483268201351
27,0.0730586051940918
28,0.07542778737843037
29,0.035683419555425644
30,0.02620822563767433
31,0.05210372433066368
32,0.041289543733000755
33,0.056630928069353104
34,0.026908060535788536
35,0.02712968923151493
36,0.04222366400063038
37,0.03988434001803398
38,0.0842136163264513
39,0.07330348342657089
40,0.05144725553691387
41,0.10170211642980576
42,0.061859045177698135
43,0.0451204739511013
44,0.04488582909107208
45,0.050441816449165344
46,0.10489642061293125
47,0.049749184399843216
48,0.07810274139046669
49,0.10054129175841808
50,0.2085623610764742
51,0.06451935693621635
52,0.04587583430111408
53,0.07955488748848438
54,0.05524001084268093
55,0.05279251001775265
56,0.0589566845446825
57,0.06997096352279186
58,0.034184856340289116
59,0.05996071919798851
60,0.06952637992799282
61,0.08040719479322433
62,0.07108826749026775
63,0.04393503628671169
64,0.03144507668912411
