Index, run_time
0,0.021776629146188498
1,0.007883706130087376
2,0.007357005029916763
3,0.006973005831241608
4,0.006993606686592102
5,0.007061824202537537
6,0.007096892222762108
7,0.007048632018268108
8,0.007194790989160538
9,0.007078398019075394
10,0.007050135638564825
11,0.012297450099140406
12,0.007662808056920767
13,0.007121696136891842
14,0.008084570989012718
15,0.007396033965051174
16,0.008282550144940615
17,0.007202598731964827
18,0.007137978915125132
19,0.008538518100976944
20,0.007611889857798815
21,0.007591137196868658
22,0.007270609959959984
23,0.007439375855028629
24,0.007207820191979408
25,0.007590576075017452
26,0.007311690133064985
27,0.00696891825646162
28,0.007946277968585491
29,0.007309278938919306
