Index, run_time
0,0.03485163860023022
1,0.008318765088915825
2,0.009841574355959892
3,0.00809641182422638
4,0.007685013115406036
5,0.009574271738529205
6,0.0076285358518362045
7,0.007581070065498352
8,0.010331833735108376
9,0.015882693231105804
10,0.00763263925909996
11,0.12001698836684227
12,0.008527150377631187
13,0.008633552119135857
14,0.06404557079076767
15,0.0671168603003025
16,0.00826982781291008
17,0.008064555004239082
18,0.007838651537895203
19,0.007619971409440041
20,0.0077638886868953705
21,0.007721129804849625
22,0.007715089246630669
23,0.007567627355456352
