Index, run_time
0,0.04113921336829662
1,0.08916368521749973
2,0.04995303973555565
3,0.06162531301379204
4,0.053199490532279015
5,0.057559482753276825
6,0.04667280241847038
7,0.050818854942917824
8,0.03817032650113106
9,0.050075020641088486
10,0.04069336876273155
11,0.06458761356770992
12,0.052162788808345795
13,0.05028412491083145
14,0.006714647635817528
15,0.00423937663435936
16,0.0071419645100831985
17,0.00605408102273941
18,0.004160331562161446
19,0.003790704533457756
20,0.0050528645515441895
21,0.0034133289009332657
22,0.006677849218249321
23,0.005522122606635094
