Index, run_time
0,0.037573781330138445
1,0.03598233591765165
2,0.034731502179056406
3,0.03873607190325856
4,0.04021520772948861
5,0.03599935816600919
6,0.03437611786648631
7,0.034924669191241264
8,0.033839825075119734
9,0.03450456401333213
10,0.04245846113190055
11,0.03381428401917219
12,0.05106324516236782
13,0.08739626640453935
14,0.082929533906281
15,0.08788772718980908
16,0.0794667680747807
17,0.1009938232600689
18,0.07751412596553564
19,0.08652365207672119
20,0.08161262981593609
21,0.072757413610816
22,0.07544361613690853
23,0.08816361473873258
