Index, run_time
0,0.10506908595561981
1,0.09722127392888069
2,0.07752477331086993
3,0.03539721900597215
4,0.034557659178972244
5,0.034891447983682156
6,0.04151500901207328
7,0.03447088226675987
8,0.03591051930561662
9,0.03327129362151027
10,0.03369491687044501
11,0.03401274001225829
12,0.040733365807682276
13,0.036404600366950035
14,0.04374297196045518
15,0.040202988777309656
16,0.04015620518475771
17,0.03554513119161129
18,0.03193505201488733
19,0.03185492614284158
20,0.03265550313517451
21,0.03726968914270401
22,0.03677560808137059
23,0.037166568916291
