Index, run_time
0,0.07142125815153122
1,0.02367351483553648
2,0.053099703043699265
3,0.1323368065059185
4,0.0399091225117445
5,0.05996485520154238
6,0.07113733422011137
7,0.05053165461868048
8,0.11459440179169178
9,0.06974396761506796
10,0.09150149300694466
11,0.05491907708346844
12,0.058571139350533485
13,0.058684684336185455
14,0.07407239731401205
15,0.08229041565209627
16,0.08726989664137363
17,0.09145231731235981
18,0.08153051324188709
19,0.03674337733536959
20,0.0732236010953784
21,0.03950361721217632
22,0.03464558720588684
23,0.09031811729073524
24,0.09713315777480602
25,0.07990844640880823
26,0.029659599997103214
27,0.05433732736855745
28,0.05105843301862478
29,0.03505248948931694
30,0.06392621155828238
31,0.03456034418195486
