Index, run_time
0,0.012819644063711166
1,0.008397291880100965
2,0.007879624143242836
3,0.007722526788711548
4,0.0076265716925263405
5,0.007754083722829819
6,0.007485162932425737
7,0.0075984010472893715
8,0.007516850251704454
9,0.007453992031514645
10,0.007597461808472872
11,0.00993966730311513
12,0.007438491098582745
13,0.007449537981301546
14,0.00756755331531167
15,0.007612759713083506
16,0.007575165014714003
17,0.007472039200365543
18,0.00756116583943367
19,0.007424870040267706
20,0.007486497052013874
21,0.007503561209887266
22,0.007400144822895527
23,0.007560341153293848
