Index, run_time
0,0.013340776786208153
1,0.007996393367648125
2,0.00823238305747509
3,0.010751974768936634
4,0.015328104607760906
5,0.011560201644897461
6,0.01544163003563881
7,0.014222168363630772
8,0.007702464237809181
9,0.009321422316133976
10,0.009771066717803478
11,0.021328486502170563
12,0.012394036166369915
13,0.026543358340859413
14,0.013807089067995548
15,0.013928080908954144
16,0.021473947912454605
17,0.014124490320682526
18,0.023725912906229496
19,0.014636342413723469
20,0.023439406417310238
21,0.007340765558183193
22,0.015986681915819645
23,0.0252701910212636
