Index, run_time
0,0.047073736786842346
1,0.034539224579930305
2,0.03976859152317047
3,0.03163795359432697
4,0.037659652531147
5,0.0352983083575964
6,0.033909330144524574
7,0.029791655018925667
8,0.033346112817525864
9,0.030261993408203125
10,0.035208581015467644
11,0.03201066702604294
12,0.030496159568428993
13,0.03090638481080532
14,0.03218790702521801
15,0.03088214434683323
16,0.031796008348464966
17,0.03158353269100189
18,0.03147861361503601
19,0.03459092974662781
20,0.030370676890015602
21,0.03282131999731064
22,0.032028818503022194
23,0.030357971787452698
