Index, run_time
0,0.01565679721534252
1,0.007222941145300865
2,0.007540542632341385
3,0.00758533738553524
4,0.008239524438977242
5,0.007035611197352409
6,0.07387080788612366
7,0.007678976282477379
8,0.007260829210281372
9,0.006708210334181786
10,0.00735572911798954
11,0.007193839177489281
12,0.00921088457107544
13,0.0074960775673389435
14,0.007568154484033585
15,0.006676303222775459
16,0.006809055805206299
17,0.006993178278207779
18,0.0070521533489227295
19,0.008039768785238266
20,0.006865827366709709
21,0.007412109524011612
22,0.00663277693092823
23,0.0066054388880729675
